"Parameter","Description","Instrument Count","List of Instruments"
"Starting-act select","Chooses a preset juggling routine to begin with.","1","Puggler the Punk Rock Jugger"
"Cast select","Chooses which juggler riders are active in the performance.","1","Puggler the Punk Rock Jugger"
"Objects select","Sets how many juggling props are in play.","1","Puggler the Punk Rock Jugger"
"Pattern select","Chooses which juggling pattern is performed.","1","Puggler the Punk Rock Jugger"
"Rhythm-form select","Chooses the song structure the routine follows, such as repeat, verse-form, or evolving phrases.","1","Puggler the Punk Rock Jugger"
"Passing-cadence select","Chooses the passing rhythm between jugglers, such as trading or solo cycles.","1","Puggler the Punk Rock Jugger"
"Random-objects button","Randomly reassigns which props are used.","1","Puggler the Punk Rock Jugger"
"Random-flyers button","Randomizes the crowd-toss visual/poster elements.","1","Puggler the Punk Rock Jugger"
"Stage-skin select","Chooses the visual stage background theme.","1","Puggler the Punk Rock Jugger"
"Stage-lights select","Chooses the stage lighting preset.","1","Puggler the Punk Rock Jugger"
"dynamically generated Physics sliders - Throw height","Sets juggling physics parameters like throw height, catch reach, throw variability, gravity, and wind.","1","Puggler the Punk Rock Jugger"
"Ride-patterns checkbox","Toggles automatic riding behavior on or off.","1","Puggler the Punk Rock Jugger"
"Trippy-trails checkbox","Toggles a visual motion-trail effect on or off.","1","Puggler the Punk Rock Jugger"
"dynamically generated Sound-mixer sliders - Airborne riffs level, Catch impacts level, Audience/boo level, Height-to-pitch amount","Mixes and shapes the sounds for throws, catches, crowd noise, pitch mapping, stereo width, distortion, and decay.","1","Puggler the Punk Rock Jugger"
"per-object rows","Assigns catch and flight sound types to each individual juggling prop.","1","Puggler the Punk Rock Jugger"
"Rider keyboard clusters","Maps on-screen and physical keyboard keys to steer, jump, kick, and throw for a rider.","1","Puggler the Punk Rock Jugger"
"Roxy: J/L steer, U/O fast steer, I/K height, H kick, N throw to crowd","Maps keyboard keys to control the Roxy rider's steering, height, kick, and throw.","1","Puggler the Punk Rock Jugger"
"Moss: Numpad4/6 steer, Numpad7/9 fast steer, Numpad8/2 height, Numpad5 kick, Numpad0 throw to crowd","Maps numpad keys to control the Moss rider's steering, height, kick, and throw.","1","Puggler the Punk Rock Jugger"
"each rider's on-stage name/number toggle","Shows or hides an individual rider on stage.","1","Puggler the Punk Rock Jugger"
"dragging a rider on the canvas repositions them","Lets you drag a rider to a new position on stage.","1","Puggler the Punk Rock Jugger"
"Space pauses new juggling throws while riders/crowd stay active","Pauses new throws with spacebar while other animation keeps running.","1","Puggler the Punk Rock Jugger"
"Flight level slider","Sets the master output volume of the flight sound.","1","Vector Flight"
"Fly/pause transport button","Starts or stops the flight simulation.","1","Vector Flight"
"Center-helm button","Resets the steering input back to neutral.","1","Vector Flight"
"New-field button","Regenerates the star field using a new random seed.","1","Vector Flight"
"Articulation buttons - Continuous / Notes / Triggers","Chooses how contour crossings are sounded: continuously, as notes, or as triggers.","1","Vector Flight"
"Throttle slider","Sets the ship's forward speed.","1","Vector Flight"
"Throttle-preset buttons - Drift","Instantly sets the throttle to a named preset speed level.","1","Vector Flight"
"Star-density slider","Sets how many stars populate the field.","1","Vector Flight"
"Listening-radius/sensorRadius slider","Sets how far the ship's proximity sensor reaches.","1","Vector Flight"
"Listening-width/sensorWidth slider","Sets the angular width of the ship's proximity sensor.","1","Vector Flight"
"Orbit-lobes slider","Sets the number of lobes in the generated field pattern.","1","Vector Flight"
"Orbit-phase slider","Sets the phase offset of the field's orbital pattern.","1","Vector Flight"
"Field-spin slider","Sets the rotational spin rate of the field pattern.","1","Vector Flight"
"Articulation-mode select mirrored in Sound section","Chooses how proximity/contour crossings are sounded, mirrored from the main articulation control.","1","Vector Flight"
"Frequency-floor slider","Sets the lowest frequency, in Hz, used for pitch mapping.","1","Vector Flight"
"Frequency-ceiling slider","Sets the highest frequency, in Hz, used for pitch mapping.","1","Vector Flight"
"Stereo-width/azimuth-stereo slider","Sets how much stereo panning is applied based on azimuth.","1","Vector Flight"
"Doppler-bend slider","Sets how strongly pitch bends with relative velocity, simulating Doppler shift.","1","Vector Flight"
"Contact-release/tail slider","Sets the release/tail length of sound triggered by contour contact.","1","Vector Flight"
"Velocity-character slider","Sets how strongly ship velocity shapes the timbral character.","1","Vector Flight"
"Engine-mix/engineMix slider","Sets the mix level of the engine sound layer.","1","Vector Flight"
"Reset-flight-computer button. Canvas/helm interaction: drag around the centered ship to steer","Resets flight parameters; dragging near the ship steers its heading.","1","Vector Flight"
"Arrow keys or WASD move the helm","Steers the ship using arrow keys or WASD.","1","Vector Flight"
"+/- changes throttle","Increases or decreases throttle using the +/- keys.","1","Vector Flight"
"Space pauses","Pauses the flight simulation with the spacebar.","1","Vector Flight"
"Escape mutes. All controls wired via addEventListener in vector-flight-app.js","Mutes the sound output when Escape is pressed.","1","Vector Flight"
"Program level header slider 0-1 step .01 default .55","Sets the overall master output gain of the surround field.","1","Surround for Safety"
"Sound emitter draggable puck on SVG stage","Drags the sound source's x/y position on the stage and switches motion to manual.","1","Surround for Safety"
"Speaker layout button group","Chooses the surround speaker configuration (e.g. 7.4.1, 4.1, 8-circle, 8-cube).","1","Surround for Safety"
"Custom ring speaker-count slider 2-32 step 1 default 8","Sets the number of speakers in a custom ring layout.","1","Surround for Safety"
"Room view toggle","Switches the stage view between a flat plan and 3D space view.","1","Surround for Safety"
"Center source button","Resets the sound source position to the center.","1","Surround for Safety"
"Source motion switch","Chooses how the source moves: manually, orbiting, or wandering.","1","Surround for Safety"
"Motion rate slider .03-.5 rev/s step .01 default .12","Sets how fast the source orbits or wanders, in revolutions per second.","1","Surround for Safety"
"Speaker focus slider 0-1 step .01 default .58","Sets panning sharpness across speakers and the low-frequency send amount.","1","Surround for Safety"
"Source height slider 0-1 step .01 default 0","Sets the vertical height of the sound source in the field.","1","Surround for Safety"
"Voice grid button group","Chooses the synth voice used and auditions it with a test MIDI note.","1","Surround for Safety"
"Spectral color slider 0-1 step .01 default .62","Sets the lowpass filter cutoff and resonance, shaping timbral brightness.","1","Surround for Safety"
"Field tail slider .18-2.4s step .01 default .9","Sets the decay/release time of the sound envelope.","1","Surround for Safety"
"Route mode toggle","Switches audio routing between automatic surround output and a stereo preview.","1","Surround for Safety"
"Reference signal button group","Chooses a test signal (pink noise, tone, or chirp) for calibration.","1","Surround for Safety"
"Test trim slider -24 to +6dB step 1 default 0","Adjusts the level, in dB, of the test/reference signal.","1","Surround for Safety"
"Run channel sweep toggle button","Starts or stops a sequential sweep through each speaker channel for testing.","1","Surround for Safety"
"per-speaker channel-meter/speaker-node buttons","Tests an individual speaker on click and shows its live level meter.","1","Surround for Safety"
"8 speaker note pads","Plays a note on a specific speaker when clicked or triggered by its assigned key.","1","Surround for Safety"
"Orbit phrase transport toggle/Spacebar","Starts or stops an 8-note looping phrase and auto-engages orbit motion.","1","Surround for Safety"
"audio-file picker","Loads a local audio file, decodes it, and downmixes it to mono for processing.","1","Surround for Safety"
"Play through field toggle button","Toggles playback of the loaded audio routed through the surround sound field.","1","Surround for Safety"
"Record channels toggle button","Starts/stops recording the individual surround channels, up to 15 seconds.","1","Surround for Safety"
"Download stem ZIP button","Downloads the recorded surround channel stems as a ZIP file.","1","Surround for Safety"
"Reset Surround for Safety button","Resets the surround field to a safe default state to prevent runaway audio.","1","Surround for Safety"
"Escape key turns audio off","Pressing Escape immediately silences all audio output.","1","Surround for Safety"
"Play/Pause button/Spacebar","Starts or stops the automatic pattern motion/playback.","1","Lattice"
"Pattern phase slider 0-1 step .0005 default .5","Sets the current position (phase) within the animated pattern cycle.","1","Lattice"
"Pattern speed slider 0-1 step .001","Sets how fast the pattern animates, mapped to cycles per second.","1","Lattice"
"Loop/Ping-pong button pair","Chooses whether pattern playback loops forward or bounces back and forth.","1","Lattice"
"Pattern direction angle slider 0-90 step .1 default 0","Sets the angle the pattern travels/scans across.","1","Lattice"
"Pattern direction axis toggle button","Flips which axis the pattern's travel direction is measured against.","1","Lattice"
"Line angle slider 0-179.9 step .1 default 90","Sets the angle of the scanning/reading line across the tiling.","1","Lattice"
"Reset-90-degrees button","Resets the line angle back to its default 90-degree orientation.","1","Lattice"
"tile editor canvas with pointer-draggable prototile vertices","Lets you reshape the tiling's prototile by dragging its vertices on canvas.","1","Lattice"
"Density slider 0-.8 step .01 default .52","Adjusts how densely the tiles/pattern elements are packed.","1","Lattice"
"up to 6 dynamic Shape parameter sliders","A variable set of sliders controlling the current prototile's shape parameters.","1","Lattice"
"up to 5 dynamic matching-edge curve sliders","A variable set of sliders bending the curvature of matching tile edges.","1","Lattice"
"Contact level slider 0-1 step .01 default .35","Sets how strongly touching/adjacent tiles interact or blend.","1","Lattice"
"Intersection emphasis slider 0-1 step .01 default .75","Sets how strongly tile edge intersections are visually/sonically emphasized.","1","Lattice"
"Voice limit slider 1-12 step 1 default 8","Caps the maximum number of simultaneous sounding voices.","1","Lattice"
"Percussion Attack slider .5-30ms step .5 default 3","Sets the attack (onset rise) time of percussion-mode notes.","1","Lattice"
"Percussion Decay slider 15-2000ms step 5 default 110","Sets the decay (fade-out) time of percussion-mode notes.","1","Lattice"
"Shepard glide-rate slider .25-4oct/loop step .05 default 1","Sets how many octaves the Shepard tone glides per loop cycle.","1","Lattice"
"Shepard glide-direction select","Chooses whether the Shepard tone illusion glides upward or downward.","1","Lattice"
"Shepard spectral-width slider 1-8oct step .1 default 4","Sets the octave span/bandwidth of the Shepard tone's overlapping partials.","1","Lattice"
"FM index slider 0-12 step .05 default 3","Sets the intensity (modulation index) of frequency modulation.","1","Lattice"
"FM modulator-ratio slider .25-8 step .05 default 2","Sets the modulator-to-carrier frequency ratio for FM synthesis.","1","Lattice"
"PM phase-depth slider 0-8rad step .05 default 2","Sets the depth (in radians) of phase modulation.","1","Lattice"
"PM modulator-ratio slider .25-8 step .05 default 1","Sets the modulator-to-carrier frequency ratio for phase modulation.","1","Lattice"
"Pitch-mark select","Chooses which geometric feature (position, orientation, etc.) drives pitch.","1","Lattice"
"Pitch-curve select","Chooses the response curve shape mapping the pitch-mark value to pitch.","1","Lattice"
"Modulation-drive-mark select","Chooses which geometric feature drives the FM/PM modulation amount.","1","Lattice"
"Level-mark select","Chooses which geometric feature drives note amplitude/level.","1","Lattice"
"Level-curve select","Chooses the response curve shape mapping the level-mark value to volume.","1","Lattice"
"Stereo width slider 0-1 step .01 default 1","Sets how wide the stereo spread of sound sources is.","1","Lattice"
"canvas pointer-drag scrubs pattern phase","Dragging on the canvas manually scrubs through the pattern's animation phase.","1","Lattice"
"Output level header slider 0-.82 step .01 default .42","Sets the overall master output volume.","1","Escher"
"Zoom out/Reset view/Zoom in buttons plus mouse wheel, pinch-zoom, and +/-/Home keys","Zooms and recenters the canvas view via buttons, scroll wheel, pinch, or keys.","1","Escher"
"Structural preset select","Loads a named preset configuration for the tessellation's structure.","1","Escher"
"Outline playback mode 3-button group","Chooses what the animated outline traces: a shape, its neighbors, or the pattern.","1","Escher"
"Play/Pause button/Space or Enter","Starts or stops the automated playhead motion.","1","Escher"
"Travel speed slider .08-1.2 units/s step .01 default .32","Sets how fast the playhead travels across the tessellation.","1","Escher"
"Neighbor reach slider 1-4 hops step 1 default 2","Sets how many tile-neighbor hops are included in Neighbors mode.","1","Escher"
"Playhead size slider .2-1 step .01 default .65","Sets the visual size of the playhead marker.","1","Escher"
"Tile density slider 0-1 step .01 default .54","Adjusts how densely the tiles are packed across the field.","1","Escher"
"Contour deformation slider 0-1 step .01 default .72","Sets how strongly tile contours are warped from their base shape.","1","Escher"
"Field rotation slider -180 to 180 step 1 default 0","Rotates the entire tessellation field.","1","Escher"
"Motif detail slider 0-1 step .01 default .78","Sets the level of detail rendered in each tile's motif.","1","Escher"
"Show geometry checkbox","Toggles display of the underlying tile geometry/wireframe.","1","Escher"
"Figure/ground contrast slider .2-1 step .01 default .76","Sets the visual contrast between figure and background elements.","1","Escher"
"Generator root","Sets the base/root frequency the tiling's audio is generated from.","1","Escher"
"Tone slider 0-1 step .01 default .58","Adjusts the timbral brightness/tone color of the sound.","1","Escher"
"Size+corner to pitch slider 0-24 semitones step 1 default 14","Sets how many semitones a tile's size and corner angle map to pitch.","1","Escher"
"Curvature to timbre slider 0-1 step .01 default .72","Sets how strongly tile edge curvature affects the sound's timbre.","1","Escher"
"Position to stereo slider 0-1 step .01 default .82","Sets how strongly a tile's position maps to stereo placement.","1","Escher"
"Orientation to gesture slider 0-1 step .01 default .68","Sets how strongly a tile's orientation shapes the note's articulation gesture.","1","Escher"
"Color/aspect to voice slider 0-1 step .01 default .76","Sets how strongly a tile's color/aspect ratio selects the synth voice.","1","Escher"
"Position to pitch/space slider 0-1 step .01 default .64","Sets how strongly spatial position maps to pitch/spacing.","1","Escher"
"Border to articulation slider 0-1 step .01 default .72","Sets how strongly tile borders affect note articulation.","1","Escher"
"Reset Escher button","Resets all Escher tessellation parameters to their defaults.","1","Escher"
"tap selects/plays a real contour outline","Tapping a shape selects and plays its contour outline.","1","Escher"
"single-pointer drag pans","Dragging with one pointer pans the canvas view.","1","Escher"
"two-pointer pinch zooms","Pinching with two pointers zooms the canvas view in or out.","1","Escher"
"double-click resets view","Double-clicking resets the canvas pan/zoom to its default view.","1","Escher"
"arrow keys move selection to an adjacent real shape","Arrow keys move the selected shape to a neighboring tile.","1","Escher"
"Escape turns audio off","Pressing Escape immediately silences all audio output.","1","Escher"
"Output level header slider 0-.8 step .01 default .48","Sets the overall master output volume.","1","Penrose Tilings"
"Zoom out/Reset view/Zoom in buttons plus wheel-zoom and +/-/Home keys","Zooms and recenters the canvas view via buttons, scroll wheel, or keys.","1","Penrose Tilings"
"Penrose presentation select","Chooses among different visual presentation styles of the Penrose tiling.","1","Penrose Tilings"
"Subdivision generation slider 1-7 step 1 default 6","Sets how many recursive subdivision generations build the tiling's detail.","1","Penrose Tilings"
"Local window/pentagrid-phase slider 0-63 step 1 default 0","Shifts the phase/offset of the pentagrid used to generate the local tiling window.","1","Penrose Tilings"
"Pattern orientation slider 0-324 step 36 default 0","Rotates the overall Penrose pattern orientation in 36-degree steps.","1","Penrose Tilings"
"Global angle shear slider -.45 to .45 step .01 default 0","Shears the tiling's angles, distorting it away from true Penrose geometry.","1","Penrose Tilings"
"Plane coverage select","Chooses whether the tiling covers the plane seamlessly/infinitely or as a finite patch.","1","Penrose Tilings"
"Color energy slider .35-1 step .01 default .78","Sets the intensity/saturation of the tiling's color rendering.","1","Penrose Tilings"
"Robinson seams checkbox","Toggles display of the Robinson triangle seam lines.","1","Penrose Tilings"
"Parent hierarchy checkbox, finite-patch only","Toggles display of the tile's parent-subdivision hierarchy in finite-patch mode.","1","Penrose Tilings"
"Five directions checkbox default on","Toggles display of the five characteristic Penrose symmetry directions.","1","Penrose Tilings"
"Signal paths checkbox default on","Toggles display of the signal/audio path routing over the tiling.","1","Penrose Tilings"
"Next-edge preview checkbox default on","Toggles a preview highlight of the next edge to be traversed.","1","Penrose Tilings"
"Move tiling/Play-pause button/Space or Enter","Starts or stops the automated motion of the tiling.","1","Penrose Tilings"
"World travel slider 0-1 step .0005 default .5","Scrubs the playhead position through the tiling's world-space travel path.","1","Penrose Tilings"
"Tiling drift slider .01-.3 units/s step .001 default .06","Sets the speed at which the tiling drifts/scrolls over time.","1","Penrose Tilings"
"Path sustain slider 0-1 step .01 default .38","Sets how long notes sustain as the path is traversed (sine mode).","1","Penrose Tilings"
"Centered path voices slider 1-16 step 1 default 10","Sets how many simultaneous voices sound along the centered path.","1","Penrose Tilings"
"Root frequency slider 36-220Hz step .5 default 82.5","Sets the base/root frequency in Hz that pitches are derived from.","1","Penrose Tilings"
"Trigger/audition decay slider 35-900ms step 5 default 180","Sets the decay time of triggered/audition notes.","1","Penrose Tilings"
"FM ratio slider .5-8x step .05 default 2","Sets the modulator-to-carrier frequency ratio for FM synthesis.","1","Penrose Tilings"
"FM index slider 0-18 step .1 default 5","Sets the intensity (modulation index) of frequency modulation.","1","Penrose Tilings"
"Reset Penrose tilings button","Resets all Penrose tiling parameters to their defaults.","1","Penrose Tilings"
"tap auditions the tapped tile","Tapping a tile plays/auditions its associated note.","1","Penrose Tilings"
"drag pans","Dragging on canvas pans the view, or scrubs position in patch mode.","1","Penrose Tilings"
"full keyboard shortcut set on canvas","Provides keyboard shortcuts for transport, navigation, and toggling display options.","1","Penrose Tilings"
"Time path 3-button switch","Chooses which spatial path (radius, angle, or spiral) drives time/playback.","1","Spiral"
"Time phase slider 0-1 step .0005","Sets the current playback position (phase) along the chosen time path.","1","Spiral"
"Time speed slider .01-1 cyc/s step .001 default .12","Sets how fast playback progresses along the time path, in cycles/second.","1","Spiral"
"Loop/Ping-pong motion buttons","Chooses whether motion loops forward or bounces back and forth.","1","Spiral"
"Size-affects-time+pitch coupling toggle button","Toggles whether spiral element size also affects timing and pitch.","1","Spiral"
"Reader turns slider .25-6 step .05","Sets how many spiral turns the reader traverses (Spiral path only).","1","Spiral"
"Loop play/pause button","Starts or stops an independent deep-zoom loop transport.","1","Spiral"
"Deep zoom slider 0-1 step .0005","Sets the current zoom depth into the spiral's recursive structure.","1","Spiral"
"Loop speed slider .01-1 cyc/s step .001 default .05","Sets how fast the deep-zoom loop animates, in cycles/second.","1","Spiral"
"Reverse-zoom button","Reverses the direction of the deep-zoom animation.","1","Spiral"
"editable prototile canvas with draggable vertices","Lets you reshape the spiral's prototile by dragging its vertices on canvas.","1","Spiral"
"up to 6 dynamic Shape parameter sliders step .005","A variable set of sliders controlling the current prototile's shape parameters.","1","Spiral"
"up to 5 dynamic matching-edge bend sliders -1 to 1 step .01","A variable set of sliders bending the curvature of matching tile edges.","1","Spiral"
"A-turns slider 0-12 step 1 default 1","Sets the number of turns for the A spiral arm.","1","Spiral"
"B-turns slider 0-12 step 1 default 5","Sets the number of turns for the B spiral arm.","1","Spiral"
"Pattern scale slider -1.2 to 1.2 step .01","Scales the size of the repeating pattern.","1","Spiral"
"Pattern rotation slider -180 to 180 step 1","Rotates the repeating pattern.","1","Spiral"
"Contact level slider 0-1 step .01 default .38","Sets how strongly touching/adjacent elements interact or blend.","1","Spiral"
"Percussion Attack/Decay sliders","Set the attack and decay envelope times used in percussion mode.","1","Spiral"
"Voice limit slider 1-16 step 1 default 8","Caps the maximum number of simultaneous sounding voices.","1","Spiral"
"Stereo width slider 0-1 step .01 default .8","Sets how wide the stereo spread of sound sources is.","1","Spiral"
"pointer-drag scrubs reader position directly","Dragging on the canvas directly scrubs the reader's position along the spiral.","1","Spiral"
"Rotation-target switch","Chooses whether canvas dragging rotates the shape or the surrounding surface.","1","Solid"
"Surface position slider 0-1 step .001 default .5","Sets the current playback position on the surface.","1","Solid"
"Surface speed slider .01-4 cyc/s step .01 default .12","Sets how fast playback moves across the surface, in cycles/second.","1","Solid"
"Surface yaw slider -180 to 180 step 1 default 45 with its own auto-play button and yaw-speed slider -.5 to .5 rev/s step .01 default .04","Sets the surface's horizontal yaw rotation and its own auto-rotation speed.","1","Solid"
"Surface pitch slider -180 to 180 step 1 default -22 with its own auto-play button and pitch-speed slider -.5 to .5 rev/s step .01 default .03","Sets the surface's vertical pitch tilt and its own auto-rotation speed.","1","Solid"
"Wireframe solid select","Chooses which 3D wireframe solid shape is displayed.","1","Solid"
"Width/Height/Depth scale sliders .5-1.6x step .01 default 1","Independently scales the solid's width, height, and depth.","1","Solid"
"X skew/Z skew sliders -.7 to .7 step .01 default 0","Skews the solid shape along the X and Z axes.","1","Solid"
"per-axis Rotation X/Y/Z sliders -180 to 180 step 1","Rotates the solid independently on each axis, each with its own auto-play speed.","1","Solid"
"Percussion Attack slider .5-30ms step .5 default 3 and Decay slider 15-2000ms step 5 default 110","Sets the attack and decay envelope times used in percussion mode.","1","Solid"
"FM index slider 0-12 step .05 default 3 and Modulator ratio slider .25-8 step .05 default 2","Sets FM modulation depth and modulator-to-carrier ratio for FM/PM modes.","1","Solid"
"Play-mode switch","Chooses between a plane-slice or counterpoint-weave traversal mode.","1","Möbius"
"sequence-state readout","A read-only display showing the current weave-mode sequence state.","1","Möbius"
"Position slider 0-1 step .001 default .5","Sets the current playback position along the plane/ribbon.","1","Möbius"
"Speed slider .01-1.2 cyc/s step .01 default .1","Sets how fast playback progresses, in cycles per second.","1","Möbius"
"Plane yaw slider -180 to 180 step 1 default 38","Sets the horizontal yaw rotation of the slicing plane.","1","Möbius"
"Plane pitch slider -180 to 180 step 1 default -18","Sets the vertical pitch tilt of the slicing plane.","1","Möbius"
"Loop radius slider .48-1.05 step .01 default .72","Sets the radius of the Möbius loop shape.","1","Möbius"
"Band half-width slider .12-.68 step .01 default .38","Sets how wide the Möbius band/strip is.","1","Möbius"
"Odd half-twists select","Chooses how many odd half-twists (1, 3, or 5) the band has.","1","Möbius"
"Twist lift slider .35-1.65x step .01 default 1","Sets how much the band's twist lifts/displaces along its axis.","1","Möbius"
"Auto-rotate toggle button plus View speed slider -.25 to .25 rev/s step .005 default .035","Toggles automatic camera rotation and sets its speed.","1","Möbius"
"Vertical pitch span slider .25-5oct step .05 default 2.6","Sets the octave range that vertical position maps to pitch.","1","Möbius"
"Transverse color slider 0-1 step .01 default .58","Sets the timbral color based on transverse/lateral position.","1","Möbius"
"Horizontal stereo slider 0-1 step .01 default .82","Sets how strongly horizontal position maps to stereo placement.","1","Möbius"
"Seam halo slider 0-1 step .01 default .52","Sets the intensity of a halo/answer effect near the seam.","1","Möbius"
"extensive canvas keyboard shortcuts","Provides keyboard shortcuts for transport, rotation, and navigation on the canvas.","1","Möbius"
"Plane position slider 0-1 step .001 default .5","Sets the current playback position along the slicing plane.","1","Klein Bottle"
"Plane speed slider .01-1.2 cyc/s step .01 default .08","Sets how fast the slicing plane moves, in cycles per second.","1","Klein Bottle"
"Plane yaw slider -180 to 180 step 1 default 24","Sets the horizontal yaw rotation of the slicing plane.","1","Klein Bottle"
"Plane pitch slider -180 to 180 step 1 default -14","Sets the vertical pitch tilt of the slicing plane.","1","Klein Bottle"
"Loop radius slider 1.05-2.4 step .01 default 1.5","Sets the overall radius of the Klein bottle's loop shape.","1","Klein Bottle"
"Figure-eight radius slider .18-.72 step .01 default .42","Sets the radius of the Klein bottle's figure-eight cross-section.","1","Klein Bottle"
"Figure-eight fold slider .35-1.65x step .01 default 1","Sets how tightly the figure-eight cross-section folds.","1","Klein Bottle"
"Auto-rotate toggle button plus View speed slider -.25 to .25 rev/s step .005 default .03","Toggles automatic camera rotation and sets its speed.","1","Klein Bottle"
"Vertical pitch span slider .25-5oct step .05 default 3.1","Sets the octave range that vertical position maps to pitch.","1","Klein Bottle"
"Transverse color slider 0-1 step .01 default .62","Sets the timbral color based on transverse/lateral position.","1","Klein Bottle"
"Horizontal stereo slider 0-1 step .01 default .86","Sets how strongly horizontal position maps to stereo placement.","1","Klein Bottle"
"Seam halo slider 0-1 step .01 default .58","Sets the intensity of a halo effect near the surface seam.","1","Klein Bottle"
"keyboard shortcuts","Provides keyboard shortcuts for transport, rotation, and navigation on the canvas.","1","Klein Bottle"
"W position slider 0-1 step .001","Sets the normalized offset position along the 4th-dimension (W) axis.","1","Hyper"
"Hyperplane speed slider .01-4 cyc/s step .01","Sets how fast the hyperplane slice moves through the 4D shape.","1","Hyper"
"4D wireframe select","Chooses which 4D wireframe shape (tesseract, hypersphere, etc.) is displayed.","1","Hyper"
"X/Y/Z/W stretch sliders .5-1.5x step .01","Independently scales the shape along each of the four spatial axes.","1","Hyper"
"per-plane Rotation X-W/Y-W/Z-W sliders -180 to 180 step 1","Rotates the shape in each 4D rotation plane, each with its own auto-play speed.","1","Hyper"
"pointer-drag: horizontal sets Y-W rotation and vertical sets X-W rotation","Dragging on canvas sets Y-W and X-W rotation angles directly, pausing their auto-rotation.","1","Hyper"
"Sound Voice select","Chooses the synthesis voice/mode used to generate sound (sine, FM, percussion, etc.).","1","Hyper"
"Percussion Attack slider .5-30ms step .5 and Decay slider 15-2000ms step 5","Sets the attack and decay envelope times used in percussion mode.","1","Hyper"
"FM index slider 0-12 step .05 and Modulator ratio slider .25-8 step .05","Sets FM modulation depth and modulator-to-carrier ratio for FM/PM modes.","1","Hyper"
"Send one graph note button","Manually triggers a single note from the graph.","1","Graph Synth"
"Minimum edge time slider 20-600ms step 1","Sets the minimum time a note takes to travel along a graph edge.","1","Graph Synth"
"Distance-time ratio slider 1-12x step .01","Sets how strongly edge distance scales note travel time.","1","Graph Synth"
"Seed note slider 0-127 step 1","Sets the root MIDI note that seeds playback.","1","Graph Synth"
"Pulse tempo slider 35-220 BPM step 1","Sets the playback tempo of the pulse/sequencer, in beats per minute.","1","Graph Synth"
"Node pass-through slider .2-1 step .01","Sets how much signal/energy passes through a node to the next edge.","1","Graph Synth"
"Length response slider .25-3 step .05","Sets the curve shaping how edge length maps to travel time.","1","Graph Synth"
"Cycle amplitude return slider 0-.92 step .01","Sets the feedback gain applied when a signal returns via a graph cycle.","1","Graph Synth"
"Cycle brightness retention slider .2-1 step .01","Sets how much timbral brightness is retained as a signal loops through a cycle.","1","Graph Synth"
"8 Topology preset buttons","Loads a named preset bundle of graph topology and parameter settings.","1","Graph Synth"
"Nodes slider 3-32 step 1","Sets the number of nodes generated in the graph.","1","Graph Synth"
"Connection density slider 0-1 step .01","Sets how densely nodes are interconnected with edges.","1","Graph Synth"
"Graph seed slider 1-99 step 1","Sets the random seed used to generate the graph's layout.","1","Graph Synth"
"Node speed slider .01-.5 cyc/s step .01","Sets how fast nodes animate/move, in cycles per second.","1","Graph Synth"
"Node travel slider .01-.3 step .01","Sets how far nodes travel/wander from their base position.","1","Graph Synth"
"Graph-to-pitch mapping select","Chooses what graph property (route turns, height, degree, etc.) maps to pitch.","1","Graph Synth"
"Full-turn pitch travel slider 0-4 oct/360deg step .01","Sets how many octaves pitch travels per full 360-degree turn.","1","Graph Synth"
"Position/Shepard span slider 0-5oct step .05","Sets the octave span used for position or Shepard-tone pitch mapping.","1","Graph Synth"
"Pitch system select","Chooses the pitch/tuning system (pure angle, equal divisions, or just ratios).","1","Graph Synth"
"Equal divisions/octave slider 1-360 step 1","Sets how many equal pitch divisions make up an octave.","1","Graph Synth"
"Modulation depth slider 0-12 step .05","Sets the depth/intensity of modulation applied to the sound.","1","Graph Synth"
"Modulation ratio slider .25-8x step .05","Sets the frequency ratio between modulator and carrier oscillators in the FM synth voice.","1","Graph Synth"
"Note length select","Chooses whether a played note has a fixed triggered duration or sustains continuously while held.","1","Graph Synth"
"Triggered duration slider 20-4000ms step 10","Sets how long a triggered note sounds before it stops, in milliseconds.","1","Graph Synth"
"Attack slider 1-2000ms step 1","Sets the time for a note's volume to rise from silence to full level.","1","Graph Synth"
"Decay slider 5-2400ms step 1","Sets the time for a note's volume to fall from peak to the sustain level.","1","Graph Synth"
"Sustain slider 0-1 step .01","Sets the held volume level a note stays at after decay while a key is held.","1","Graph Synth"
"Release slider 2-5000ms step 1","Sets how long a note takes to fade to silence after being released.","1","Graph Synth"
"Stereo spread slider 0-1 step .01","Widens or narrows the stereo placement of the sound across the left/right field.","1","Graph Synth"
"Reset Graph Synth button","Restores all Graph Synth parameters and node layout to their default state.","1","Graph Synth"
"canvas: click/drag nodes to move them, click an edge's switch glyph to open/close that route, with canvas focused Space sends a note, arrow keys move the selected node, Enter toggles its first outgoing route","Lets you rearrange the synth's node graph, route signals between nodes, and trigger notes via mouse or keyboard.","1","Graph Synth"
"drag-mode toggle buttons","Switches what pointer-dragging on the canvas controls, such as orbiting the view or folding the extra dimension.","1","Hyper Rubix"
"Sticker read path select","Chooses which pattern of stickers/cells the playback reader scans through to generate notes.","1","Hyper Rubix"
"Instrument preset select","Loads a preset combination of instrument sound settings.","1","Hyper Rubix"
"Playback preset select","Chooses which portion of the shape (visible cells, selected cell, or whole shape) is read for playback.","1","Hyper Rubix"
